professor_id,professor_name,department,university,quality,difficulty,emotion,class_name,comment,thumbs_up,thumbs_down,review_date
147770,John Merrifield,Economics department,University of Texas at San Antonio,1,5,"<U+0001F616>
AWFUL",ECO2023,"Terrible. Horrible. I cannot describe how bad this ""professor"" is. Wants you to learn material on your own and claims he's there to teach (his exact words were ""I'm not here to teach, I'm here to clarify."") The lectures were useless, all he did was claim the material was easy and we should already know it. AVOID AT ALL COSTS!",0,0,"May 20th, 2019"
147770,John Merrifield,Economics department,University of Texas at San Antonio,1,5,"<U+0001F616>
AWFUL",ECO2023,"This professor doesn't teach so you have to teach yourself. The exams are worth majority of your grade and are unbelievably hard. During lectures, he goes off into his own thoughts, and doesn't seem to be following the material in the textbook. The Knewtons are easy but don't help with exams an only worth 8%. Avoid this teacher at all costs!",3,0,"Jan 17th, 2019"
147770,John Merrifield,Economics department,University of Texas at San Antonio,1,5,"<U+0001F616>
AWFUL",ECO2013,"some stuff are not in the book but are on the exams, he doesn't actually explain anything in lectures",4,0,"Jan 14th, 2019"
147770,John Merrifield,Economics department,University of Texas at San Antonio,1,5,"<U+0001F616>
AWFUL",ECON2023,"this is by far the worst professor I have had and I am a junior here. Does not know how to teach, talk and talks but never gets to the lesson. By all costs take anyone else but this man.",7,0,"Dec 19th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,1,5,"<U+0001F616>
AWFUL",ECO2301,Don't take this professor at all cost. He does not teach adequately or explain himself when questions are asked. There is no way to study for his test and exams because he makes up his own questions that don't even come from the book. BEWARE to teach yourself!!!! Don't take him!!!!! He doesn't give extra credit so there is absolutely no way to pass,3,0,"Dec 18th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,1,4,"<U+0001F616>
AWFUL",ECO2023,"Hopefully this professor will be the worst Ill ever have. Micro is a hard class for many people, but If you want a professor to actually teach you and who doesn't expect you to come in to lectures having understood the concepts already, do not take this class. This professor is a very respected economist but a bad professor. I don't recommend.",9,0,"Dec 13th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,2,5,"<U+0001F616>
AWFUL",ECON2013,Lectures are very off topic and you might not learn from them. If you do the knewtons you will definitely learn something and in a better way then trying to listen to the actual points he talks about in class.,2,1,"Dec 5th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,1,5,"<U+0001F616>
AWFUL",ECO2023,His lectures aren't very helpful. You spend the majority of the time trying to read the textbook and just teach yourself. Don't take this professor unless you have no choice!!,1,0,"Dec 4th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,3,4,"<U+0001F610>
AVERAGE",ECO2023,Very boring but all exams are online. His classes are discussions he doesnt actually teach anything,3,0,"Dec 3rd, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,2,4,"<U+0001F616>
AWFUL",ECO2023,"It was definitely not useful to go to class. He takes attendance but he didn't count it for a grade. There is alot of quizzes, but those count as homework. His tests are nothing like the homework and quizzes, however if you attend SI sessions and study you can possibly pass.",3,1,"Dec 2nd, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,1,3,"<U+0001F616>
AWFUL",ECO2023,"Surprisingly belittling prof. considering the amount of errors in his material. Don't point them out though because he will turn the conversation to your supposed poor grasp of the (frequently poor) material. Plenty of vague questions on HW and tests that conceivably have multiple correct answers, but ""one is more correct.""",17,0,"Nov 19th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,1,5,"<U+0001F616>
AWFUL",ECO2023,DO NOT TAKE HIM if you screw up he tries to say that its not his fault.,10,0,"Nov 19th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,2,3,"<U+0001F616>
AWFUL",ECO2023,"This professor barely teaches in class but expects you to do well on the test. He also goes off topic very often while teaching. He says attendance is barely a part of your grade, but it's actually a whole 4%.",4,0,"Nov 12th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,1,4,"<U+0001F616>
AWFUL",ECO2023,Bad Lectures really boring goes off topic a lot try to avoid getting this teacher if you go in with questions he will answer them. Other than that he expects you to know and read the book,2,0,"Oct 10th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,3,2,"<U+0001F610>
AVERAGE",ECO2023,"He's a great guy but strays away from the topic every class session, and makes you feel like you're wasting your money on the course. If you took ECO in high school, the first couple chapters are a refresher so pull out those dusty notebooks. Knewton is easy, create a group chat for the course, help your classmates, and they'll help you",1,1,"Sep 5th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,5,4,"<U+0001F60E>
AWESOME",ECO2023,"Fanstasic professor, best I ever had. His lectures do not teach the material, he expects you to go into lectures having read the material. Lectures are meant to clear up questions regarding the readings. That being said stay on task and read the material, and you will excell in the class. He aslo gives extra credit as well and is freindly.",1,15,"Aug 28th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,4,5,"<U+0001F60E>
AWESOME",ECON2023,"You WILL read in this class; lectures are discussions. There is so much extra credit for simply asking/ answering a question People who didnt read or try on the homework will tell you he is a bad professor but even when I failed my first exam, I got an A in the class. Hes a really funny and nice professor, you just MUST read. Micro is just hard.",1,6,"May 20th, 2018"
147770,John Merrifield,Economics department,University of Texas at San Antonio,2,1,"<U+0001F616>
AWFUL",ECO3253,"You know what. I was going to be rude at first but hes actually ok. Its a tough class. I would highly suggest you look over the homework for exams or maybe even create a study guide from it, then when taking the exam use it, bc its basically the homework. its online , if youre struggling, do all extra credit , its gonna help you in the end.",1,1,"May 10th, 2018"
184826,Richard Welch,Economics department,University of Texas at San Antonio,5,2,"<U+0001F60E>
AWESOME",ECO2023,"He records and posts all lectures on bb. His class is easy and straightforward. Tests are easy, based entirely on lectures, and he posts reviews on bb for them. Only downside is that he is very monotone so not very inspirational. Nonetheless, he explains topics very well and makes them easy to understand. Very available outside of class too.",0,0,"Jun 2nd, 2020"
184826,Richard Welch,Economics department,University of Texas at San Antonio,5,2,"<U+0001F60E>
AWESOME",ECO2023,"Prof. Welch is a great teacher, his teaching style makes economics much easier to understand. He gives random attendance quizzes for extra credit. His exams are all lecture based and he gives a review which is very helpful! His exams arent too difficult, as long as you attend lecture and take notes you will do fine.",0,0,"Apr 29th, 2020"
184826,Richard Welch,Economics department,University of Texas at San Antonio,4,4,"<U+0001F60E>
AWESOME",ECO2023,Hes a really nice teacher that tries to make class fun and enjoyable. The class was a little difficult just because theres only 3 major grades being tests. If you study hard you should be fine but you dont need the textbook I never used it.,0,0,"Apr 21st, 2020"
